Gene	sgRNA	eff
ASCC3	ASCC3_m101315785	1
ASCC3	ASCC3_m101315797	1
ASCC3	ASCC3_m101315853	1
ASCC3	ASCC3_p101307039	1
ASCC3	ASCC3_p101307044	1
ASCC3	ASCC3_p101312026	1
ASCC3	ASCC3_p101315801	1
ASCC3	ASCC3_p101315841	1
ASCL1	ASCL1_m103352038	1
ASCL1	ASCL1_m103352083	1
ASCL1	ASCL1_m103352091	1
ASCL1	ASCL1_m103352100	1
ASCL1	ASCL1_m103352110	1
ASCL1	ASCL1_m103352149	1
ASCL1	ASCL1_p103352021	1
ASCL1	ASCL1_p103352028	1
ASCL1	ASCL1_p103352102	1
ASCL1	ASCL1_p103352114	1
ASCL2	ASCL2_m2291414	1
ASCL2	ASCL2_m2291428	1
ASCL2	ASCL2_m2291451	1
ASCL2	ASCL2_m2291457	1
ASCL2	ASCL2_m2291493	1
ASCL2	ASCL2_m2291541	1
ASCL2	ASCL2_m2291554	1
ASCL2	ASCL2_p2291406	1
ASCL2	ASCL2_p2291418	1
ASCL2	ASCL2_p2291496	1
ASCL3	ASCL3_m8959584	1
ASCL3	ASCL3_m8959617	1
ASCL3	ASCL3_m8959694	1
ASCL3	ASCL3_p8959588	1
ASCL3	ASCL3_p8959603	1
ASCL3	ASCL3_p8959609	1
ASCL3	ASCL3_p8959623	1
ASCL3	ASCL3_p8959634	1
ASCL3	ASCL3_p8959643	1
ASCL3	ASCL3_p8959655	1
ASF1A	ASF1A_m119215621	1
ASF1A	ASF1A_m119215628	1
ASF1A	ASF1A_m119215639	1
ASF1A	ASF1A_m119215659	1
ASF1A	ASF1A_m119215678	1
ASF1A	ASF1A_p119215585	1
ASF1A	ASF1A_p119215591	1
ASF1A	ASF1A_p119215651	1
ASF1A	ASF1A_p119215664	1
ASF1A	ASF1A_p119222001	1
ASF1B	ASF1B_m14237041	1
ASF1B	ASF1B_m14247161	1
ASF1B	ASF1B_m14247168	1
ASF1B	ASF1B_m14247234	1
ASF1B	ASF1B_m14247240	1
ASF1B	ASF1B_m14247255	1
ASF1B	ASF1B_m14247261	1
ASF1B	ASF1B_p14247147	1
ASF1B	ASF1B_p14247184	1
ASF1B	ASF1B_p14247213	1
ASH1L	ASH1L_m155491119	1
ASH1L	ASH1L_m155491130	1
ASH1L	ASH1L_m155491157	1
ASH1L	ASH1L_m155491263	1
ASH1L	ASH1L_m155491278	1
ASH1L	ASH1L_m155491284	1
ASH1L	ASH1L_p155490990	1
ASH1L	ASH1L_p155491144	1
ASH1L	ASH1L_p155491214	1
ASH1L	ASH1L_p155491221	1
ASH2L	ASH2L_m37964606	1
ASH2L	ASH2L_m37967947	1
ASH2L	ASH2L_p37964555	1
ASH2L	ASH2L_p37964567	1
ASH2L	ASH2L_p37964580	1
ASH2L	ASH2L_p37964591	1
ASH2L	ASH2L_p37964597	1
ASH2L	ASH2L_p37964613	1
ASH2L	ASH2L_p37964649	1
ASH2L	ASH2L_p37967933	1
ASNA1	ASNA1_m12848388	1
ASNA1	ASNA1_m12848397	1
ASNA1	ASNA1_m12848473	1
ASNA1	ASNA1_m12849333	1
ASNA1	ASNA1_p12848360	1
ASNA1	ASNA1_p12848369	1
ASNA1	ASNA1_p12848413	1
ASNA1	ASNA1_p12848424	1
ASNA1	ASNA1_p12848458	1
ASNA1	ASNA1_p12849312	1
ASPA	ASPA_m3379532	1
ASPA	ASPA_m3379618	1
ASPA	ASPA_m3379640	1
ASPA	ASPA_m3384921	1
ASPA	ASPA_p3379495	1
ASPA	ASPA_p3379510	1
ASPA	ASPA_p3379521	1
ASPA	ASPA_p3379543	1
ASPA	ASPA_p3379564	1
ASPA	ASPA_p3379569	1
ASPM	ASPM_m197115387	1
ASPM	ASPM_m197115411	1
ASPM	ASPM_m197115432	1
ASPM	ASPM_m197115513	1
ASPM	ASPM_m197115550	1
ASPM	ASPM_m197115558	1
ASPM	ASPM_p197115377	1
ASPM	ASPM_p197115419	1
ASPM	ASPM_p197115436	1
ASPM	ASPM_p197115465	1
ASRGL1	ASRGL1_m62105486	1
ASRGL1	ASRGL1_m62105491	1
ASRGL1	ASRGL1_m62105498	1
ASRGL1	ASRGL1_m62105523	1
ASRGL1	ASRGL1_p62105452	1
ASRGL1	ASRGL1_p62105458	1
ASRGL1	ASRGL1_p62105464	1
ASRGL1	ASRGL1_p62105478	1
ASRGL1	ASRGL1_p62105502	1
ASRGL1	ASRGL1_p62105508	1
ASUN	ASUN_m27081798	1
ASUN	ASUN_m27081814	1
ASUN	ASUN_m27089558	1
ASUN	ASUN_m27089620	1
ASUN	ASUN_m27089639	1
ASUN	ASUN_m27089664	1
ASUN	ASUN_m27089678	1
ASUN	ASUN_p27089538	1
ASUN	ASUN_p27089577	1
ASUN	ASUN_p27089600	1
ASXL1	ASXL1_m30946621	1
ASXL1	ASXL1_m30946627	1
ASXL1	ASXL1_m30956829	1
ASXL1	ASXL1_p30946583	1
ASXL1	ASXL1_p30946594	1
ASXL1	ASXL1_p30946601	1
ASXL1	ASXL1_p30954224	1
ASXL1	ASXL1_p30954231	1
ASXL1	ASXL1_p30954239	1
ASXL1	ASXL1_p30954247	1
ASXL2	ASXL2_m26029155	1
ASXL2	ASXL2_m26068367	1
ASXL2	ASXL2_m26101036	1
ASXL2	ASXL2_m26101048	1
ASXL2	ASXL2_m26101054	1
ASXL2	ASXL2_m26101061	1
ASXL2	ASXL2_p26029162	1
ASXL2	ASXL2_p26029173	1
ASXL2	ASXL2_p26068384	1
ASXL2	ASXL2_p26068393	1
ASXL3	ASXL3_m31158624	1
ASXL3	ASXL3_m31158635	1
ASXL3	ASXL3_m31187575	1
ASXL3	ASXL3_m31187584	1
ASXL3	ASXL3_m31224865	1
ASXL3	ASXL3_m31224870	1
ASXL3	ASXL3_p31158587	1
ASXL3	ASXL3_p31158608	1
ASXL3	ASXL3_p31158615	1
ASXL3	ASXL3_p31187602	1
ASZ1	ASZ1_m117067411	1
ASZ1	ASZ1_m117067421	1
ASZ1	ASZ1_m117067433	1
ASZ1	ASZ1_m117067441	1
ASZ1	ASZ1_m117067446	1
ASZ1	ASZ1_m117067453	1
ASZ1	ASZ1_m117067473	1
ASZ1	ASZ1_m117067479	1
ASZ1	ASZ1_m117067494	1
ASZ1	ASZ1_p117067464	1
ATAD2	ATAD2_m124408492	1
ATAD2	ATAD2_m124408548	1
ATAD2	ATAD2_m124408554	1
ATAD2	ATAD2_m124408575	1
ATAD2	ATAD2_p124408501	1
ATAD2	ATAD2_p124408506	1
ATAD2	ATAD2_p124408513	1
ATAD2	ATAD2_p124408522	1
ATAD2	ATAD2_p124408528	1
ATAD2	ATAD2_p124408563	1
ATAD5	ATAD5_m29159379	1
ATAD5	ATAD5_m29159384	1
ATAD5	ATAD5_m29159404	1
ATAD5	ATAD5_m29159410	1
ATAD5	ATAD5_m29161234	1
ATAD5	ATAD5_m29161276	1
ATAD5	ATAD5_m29161312	1
ATAD5	ATAD5_m29161360	1
ATAD5	ATAD5_m29161372	1
ATAD5	ATAD5_p29159394	1
ATE1	ATE1_m123683817	1
ATE1	ATE1_m123687360	1
ATE1	ATE1_m123687375	1
ATE1	ATE1_m123687396	1
ATE1	ATE1_m123687412	1
ATE1	ATE1_m123687450	1
ATE1	ATE1_m123687455	1
ATE1	ATE1_p123687346	1
ATE1	ATE1_p123687379	1
ATE1	ATE1_p123687416	1
ATF1	ATF1_m51173941	1
ATF1	ATF1_m51173953	1
ATF1	ATF1_m51173970	1
ATF1	ATF1_m51189722	1
ATF1	ATF1_m51189734	1
ATF1	ATF1_p51173955	1
ATF1	ATF1_p51173999	1
ATF1	ATF1_p51189693	1
ATF1	ATF1_p51189702	1
ATF1	ATF1_p51189742	1
ATF2	ATF2_m175982764	1
ATF2	ATF2_m175983034	1
ATF2	ATF2_m175994867	1
ATF2	ATF2_m175994872	1
ATF2	ATF2_p175982743	1
ATF2	ATF2_p175982766	1
ATF2	ATF2_p175982805	1
ATF2	ATF2_p175983003	1
ATF2	ATF2_p175983066	1
ATF2	ATF2_p175994857	1
ATF3	ATF3_m212788386	1
ATF3	ATF3_m212788397	1
ATF3	ATF3_m212788508	1
ATF3	ATF3_m212788541	1
ATF3	ATF3_m212791539	1
ATF3	ATF3_m212791569	1
ATF3	ATF3_p212788365	1
ATF3	ATF3_p212788377	1
ATF3	ATF3_p212788511	1
ATF3	ATF3_p212791530	1
ATF4	ATF4_m39917664	1
ATF4	ATF4_m39917886	1
ATF4	ATF4_m39918136	1
ATF4	ATF4_m39918320	1
ATF4	ATF4_p39917542	1
ATF4	ATF4_p39917654	1
ATF4	ATF4_p39917770	1
ATF4	ATF4_p39917817	1
ATF4	ATF4_p39918100	1
ATF4	ATF4_p39918107	1
ATF5	ATF5_m50434108	1
ATF5	ATF5_m50434216	1
ATF5	ATF5_m50434246	1
ATF5	ATF5_m50434279	1
ATF5	ATF5_m50435677	1
ATF5	ATF5_p50434097	1
ATF5	ATF5_p50434143	1
ATF5	ATF5_p50434148	1
ATF5	ATF5_p50434153	1
ATF5	ATF5_p50434167	1
ATF6B	ATF6B_m32095458	1
ATF6B	ATF6B_m32095464	1
ATF6B	ATF6B_m32095497	1
ATF6B	ATF6B_m32095511	1
ATF6B	ATF6B_m32095911	1
ATF6B	ATF6B_p32095449	1
ATF6B	ATF6B_p32095471	1
ATF6B	ATF6B_p32095485	1
ATF6B	ATF6B_p32095902	1
ATF6B	ATF6B_p32095925	1
ATF6	ATF6_m161736201	1
ATF6	ATF6_m161751778	1
ATF6	ATF6_m161753778	1
ATF6	ATF6_p161736193	1
ATF6	ATF6_p161736208	1
ATF6	ATF6_p161748035	1
ATF6	ATF6_p161748067	1
ATF6	ATF6_p161751726	1
ATF6	ATF6_p161751741	1
ATF6	ATF6_p161751767	1
ATF7IP2	ATF7IP2_m10524535	1
ATF7IP2	ATF7IP2_m10524545	1
ATF7IP2	ATF7IP2_m10524618	1
ATF7IP2	ATF7IP2_m10524642	1
ATF7IP2	ATF7IP2_m10524855	1
ATF7IP2	ATF7IP2_m10524976	1
ATF7IP2	ATF7IP2_m10524990	1
ATF7IP2	ATF7IP2_p10524553	1
ATF7IP2	ATF7IP2_p10524634	1
ATF7IP2	ATF7IP2_p10524981	1
ATF7IP	ATF7IP_m14577092	1
ATF7IP	ATF7IP_m14577125	1
ATF7IP	ATF7IP_m14577192	1
ATF7IP	ATF7IP_p14576920	1
ATF7IP	ATF7IP_p14576963	1
ATF7IP	ATF7IP_p14577004	1
ATF7IP	ATF7IP_p14577031	1
ATF7IP	ATF7IP_p14577037	1
ATF7IP	ATF7IP_p14577044	1
ATF7IP	ATF7IP_p14577094	1
ATF7	ATF7_m53946326	1
ATF7	ATF7_m53946359	1
ATF7	ATF7_m53946399	1
ATF7	ATF7_m53946408	1
ATF7	ATF7_p53937195	1
ATF7	ATF7_p53937201	1
ATF7	ATF7_p53946328	1
ATF7	ATF7_p53946333	1
ATF7	ATF7_p53946378	1
ATF7	ATF7_p53994728	1
ATMIN	ATMIN_m81069543	1
ATMIN	ATMIN_m81069684	1
ATMIN	ATMIN_m81069707	1
ATMIN	ATMIN_m81069713	1
ATMIN	ATMIN_m81069789	1
ATMIN	ATMIN_m81069801	1
ATMIN	ATMIN_p81069686	1
ATMIN	ATMIN_p81069695	1
ATMIN	ATMIN_p81069727	1
ATMIN	ATMIN_p81075011	1
ATM	ATM_m108098352	1
ATM	ATM_m108098389	1
ATM	ATM_m108098528	1
ATM	ATM_m108099959	1
ATM	ATM_p108098401	1
ATM	ATM_p108098562	1
ATM	ATM_p108099966	1
ATM	ATM_p108099997	1
ATM	ATM_p108106443	1
ATM	ATM_p108106455	1
ATN1	ATN1_m7043381	1
ATN1	ATN1_m7043435	1
ATN1	ATN1_m7043462	1
ATN1	ATN1_p7043169	1
ATN1	ATN1_p7043327	1
ATN1	ATN1_p7043332	1
ATN1	ATN1_p7043346	1
ATN1	ATN1_p7043422	1
ATN1	ATN1_p7043441	1
ATN1	ATN1_p7043454	1
ATOH8	ATOH8_m85981313	1
ATOH8	ATOH8_m85981326	1
ATOH8	ATOH8_m85981332	1
ATOH8	ATOH8_m85981345	1
ATOH8	ATOH8_m85981355	1
ATOH8	ATOH8_p85981305	1
ATOH8	ATOH8_p85981318	1
ATOH8	ATOH8_p85981373	1
ATOH8	ATOH8_p85981378	1
ATOH8	ATOH8_p85981383	1
ATP1A3	ATP1A3_m42492504	1
ATP1A3	ATP1A3_m42492510	1
ATP1A3	ATP1A3_m42492629	1
ATP1A3	ATP1A3_m42492635	1
ATP1A3	ATP1A3_m42492641	1
ATP1A3	ATP1A3_m42492656	1
ATP1A3	ATP1A3_m42492662	1
ATP1A3	ATP1A3_m42492676	1
ATP1A3	ATP1A3_m42492698	1
ATP1A3	ATP1A3_p42492666	1
ATP1B4	ATP1B4_m119496040	1
ATP1B4	ATP1B4_m119496045	1
ATP1B4	ATP1B4_m119496056	1
ATP1B4	ATP1B4_m119496065	1
ATP1B4	ATP1B4_m119500378	1
ATP1B4	ATP1B4_m119500388	1
ATP1B4	ATP1B4_p119496009	1
ATP1B4	ATP1B4_p119496018	1
ATP1B4	ATP1B4_p119496027	1
ATP1B4	ATP1B4_p119500366	1
ATP2A3	ATP2A3_m3856712	1
ATP2A3	ATP2A3_m3856988	1
ATP2A3	ATP2A3_m3867496	1
ATP2A3	ATP2A3_m3867509	1
ATP2A3	ATP2A3_m3867520	1
ATP2A3	ATP2A3_m3867536	1
ATP2A3	ATP2A3_m3867563	1
ATP2A3	ATP2A3_p3856704	1
ATP2A3	ATP2A3_p3856976	1
ATP2A3	ATP2A3_p3867541	1
ATP5A1	ATP5A1_m43669674	1
ATP5A1	ATP5A1_m43669930	1
ATP5A1	ATP5A1_m43669946	1
ATP5A1	ATP5A1_m43671673	1
ATP5A1	ATP5A1_m43671701	1
ATP5A1	ATP5A1_m43671743	1
ATP5A1	ATP5A1_m43671777	1
ATP5A1	ATP5A1_p43669662	1
ATP5A1	ATP5A1_p43671688	1
ATP5A1	ATP5A1_p43671779	1
ATP6V0A1	ATP6V0A1_m40618472	1
ATP6V0A1	ATP6V0A1_m40620105	1
ATP6V0A1	ATP6V0A1_m40622157	1
ATP6V0A1	ATP6V0A1_p40612926	1
ATP6V0A1	ATP6V0A1_p40612978	1
ATP6V0A1	ATP6V0A1_p40612987	1
ATP6V0A1	ATP6V0A1_p40612992	1
ATP6V0A1	ATP6V0A1_p40618490	1
ATP6V0A1	ATP6V0A1_p40620056	1
ATP6V0A1	ATP6V0A1_p40622136	1
ATPAF2	ATPAF2_m17942241	1
ATPAF2	ATPAF2_m17942268	1
ATPAF2	ATPAF2_m17942297	1
ATPAF2	ATPAF2_m17942302	1
ATPAF2	ATPAF2_m17942309	1
ATPAF2	ATPAF2_m17942321	1
ATPAF2	ATPAF2_p17942181	1
ATPAF2	ATPAF2_p17942205	1
ATPAF2	ATPAF2_p17942210	1
ATPAF2	ATPAF2_p17942260	1
ATRAID	ATRAID_m27436132	1
ATRAID	ATRAID_m27436142	1
ATRAID	ATRAID_m27438200	1
ATRAID	ATRAID_m27438221	1
ATRAID	ATRAID_m27438228	1
ATRAID	ATRAID_m27438250	1
ATRAID	ATRAID_m27438361	1
ATRAID	ATRAID_m27438379	1
ATRAID	ATRAID_p27438191	1
ATRAID	ATRAID_p27438369	1
ATRIP	ATRIP_m48495698	1
ATRIP	ATRIP_m48495704	1
ATRIP	ATRIP_m48495725	1
ATRIP	ATRIP_m48495767	1
ATRIP	ATRIP_p48493124	1
ATRIP	ATRIP_p48493149	1
ATRIP	ATRIP_p48493187	1
ATRIP	ATRIP_p48493202	1
ATRIP	ATRIP_p48493262	1
ATRIP	ATRIP_p48495733	1
ATRX	ATRX_m76944415	1
ATRX	ATRX_m76953072	1
ATRX	ATRX_m76954081	1
ATRX	ATRX_m76972700	1
ATRX	ATRX_m77041469	1
ATRX	ATRX_p76952123	1
ATRX	ATRX_p76952165	1
ATRX	ATRX_p76953078	1
ATRX	ATRX_p76972615	1
ATRX	ATRX_p76972655	1
ATR	ATR_m142286929	1
ATR	ATR_p142285016	1
ATR	ATR_p142285038	1
ATR	ATR_p142285045	1
ATR	ATR_p142286936	1
ATR	ATR_p142286966	1
ATR	ATR_p142286971	1
ATR	ATR_p142297482	1
ATR	ATR_p142297487	1
ATR	ATR_p142297509	1
ATXN1L	ATXN1L_m71883925	1
ATXN1L	ATXN1L_m71883966	1
ATXN1L	ATXN1L_m71884003	1
ATXN1L	ATXN1L_m71884011	1
ATXN1L	ATXN1L_m71884018	1
ATXN1L	ATXN1L_m71884026	1
ATXN1L	ATXN1L_p71883641	1
ATXN1L	ATXN1L_p71883648	1
ATXN1L	ATXN1L_p71883700	1
ATXN1L	ATXN1L_p71883755	1
ATXN1	ATXN1_m16328401	1
ATXN1	ATXN1_m16328409	1
ATXN1	ATXN1_m16328419	1
ATXN1	ATXN1_m16328426	1
ATXN1	ATXN1_m16328523	1
ATXN1	ATXN1_p16328428	1
ATXN1	ATXN1_p16328450	1
ATXN1	ATXN1_p16328457	1
ATXN1	ATXN1_p16328482	1
ATXN1	ATXN1_p16328507	1
ATXN2L	ATXN2L_m28834592	1
ATXN2L	ATXN2L_m28834598	1
ATXN2L	ATXN2L_m28834634	1
ATXN2L	ATXN2L_m28834800	1
ATXN2L	ATXN2L_m28834823	1
ATXN2L	ATXN2L_p28834667	1
ATXN2L	ATXN2L_p28834675	1
ATXN2L	ATXN2L_p28834706	1
ATXN2L	ATXN2L_p28834717	1
ATXN2L	ATXN2L_p28834760	1
ATXN2	ATXN2_m112037284	1
ATXN2	ATXN2_m112037294	1
ATXN2	ATXN2_m112037308	1
ATXN2	ATXN2_p112037220	1
ATXN2	ATXN2_p112037234	1
ATXN2	ATXN2_p112037242	1
ATXN2	ATXN2_p112037252	1
ATXN2	ATXN2_p112037264	1
ATXN2	ATXN2_p112037274	1
ATXN2	ATXN2_p112037298	1
ATXN3	ATXN3_m92537318	1
ATXN3	ATXN3_m92548727	1
ATXN3	ATXN3_m92548739	1
ATXN3	ATXN3_m92548762	1
ATXN3	ATXN3_m92548768	1
ATXN3	ATXN3_p92537304	1
ATXN3	ATXN3_p92537326	1
ATXN3	ATXN3_p92548772	1
ATXN3	ATXN3_p92572859	1
ATXN3	ATXN3_p92572866	1
ATXN7L3	ATXN7L3_m42275015	1
ATXN7L3	ATXN7L3_m42275029	1
ATXN7L3	ATXN7L3_m42275051	1
ATXN7L3	ATXN7L3_m42275064	1
ATXN7L3	ATXN7L3_m42275070	1
ATXN7L3	ATXN7L3_m42275076	1
ATXN7L3	ATXN7L3_m42275407	1
ATXN7L3	ATXN7L3_p42275007	1
ATXN7L3	ATXN7L3_p42275079	1
ATXN7L3	ATXN7L3_p42275386	1
ATXN7	ATXN7_m63965611	1
ATXN7	ATXN7_m63965619	1
ATXN7	ATXN7_m63965629	1
ATXN7	ATXN7_m63965705	1
ATXN7	ATXN7_m63965713	1
ATXN7	ATXN7_m63965737	1
ATXN7	ATXN7_m63965749	1
ATXN7	ATXN7_p63965603	1
ATXN7	ATXN7_p63965673	1
ATXN7	ATXN7_p63965694	1
AUNIP	AUNIP_m26163950	1
AUNIP	AUNIP_m26163990	1
AUNIP	AUNIP_m26164028	1
AUNIP	AUNIP_m26185769	1
AUNIP	AUNIP_m26185782	1
AUNIP	AUNIP_m26185796	1
AUNIP	AUNIP_m26185805	1
AUNIP	AUNIP_m26185837	1
AUNIP	AUNIP_p26163980	1
AUNIP	AUNIP_p26185809	1
AUP1	AUP1_m74756542	1
AUP1	AUP1_m74756574	1
AUP1	AUP1_m74756708	1
AUP1	AUP1_m74756736	1
AUP1	AUP1_m74756741	1
AUP1	AUP1_p74756534	1
AUP1	AUP1_p74756557	1
AUP1	AUP1_p74756585	1
AUP1	AUP1_p74756599	1
AUP1	AUP1_p74756607	1
AURKAIP1	AURKAIP1_m1309783	1
AURKAIP1	AURKAIP1_m1309800	1
AURKAIP1	AURKAIP1_m1310086	1
AURKAIP1	AURKAIP1_m1310091	1
AURKAIP1	AURKAIP1_m1310102	1
AURKAIP1	AURKAIP1_m1310128	1
AURKAIP1	AURKAIP1_p1309785	1
AURKAIP1	AURKAIP1_p1309791	1
AURKAIP1	AURKAIP1_p1310071	1
AURKAIP1	AURKAIP1_p1310076	1
AURKA	AURKA_m54961423	1
AURKA	AURKA_m54961495	1
AURKA	AURKA_m54961572	1
AURKA	AURKA_m54963213	1
AURKA	AURKA_p54961447	1
AURKA	AURKA_p54961461	1
AURKA	AURKA_p54961483	1
AURKA	AURKA_p54961497	1
AURKA	AURKA_p54961503	1
AURKA	AURKA_p54963197	1
AURKB	AURKB_m8110643	1
AURKB	AURKB_m8110654	1
AURKB	AURKB_m8110908	1
AURKB	AURKB_p8110878	1
AURKB	AURKB_p8110910	1
AURKB	AURKB_p8110915	1
AURKB	AURKB_p8111043	1
AURKB	AURKB_p8111050	1
AURKB	AURKB_p8111055	1
AURKB	AURKB_p8111064	1
AURKC	AURKC_m57743409	1
AURKC	AURKC_m57743472	1
AURKC	AURKC_m57743507	1
AURKC	AURKC_p57743411	1
AURKC	AURKC_p57743451	1
AURKC	AURKC_p57743456	1
AURKC	AURKC_p57743463	1
AURKC	AURKC_p57743481	1
AURKC	AURKC_p57743490	1
AURKC	AURKC_p57743526	1
AVPI1	AVPI1_m99439487	1
AVPI1	AVPI1_m99439524	1
AVPI1	AVPI1_p99439496	1
AVPI1	AVPI1_p99439539	1
AVPI1	AVPI1_p99439547	1
AVPI1	AVPI1_p99439557	1
AVPI1	AVPI1_p99439563	1
AVPI1	AVPI1_p99439574	1
AVPI1	AVPI1_p99439626	1
AVPI1	AVPI1_p99439631	1
AXIN1	AXIN1_m396876	1
AXIN1	AXIN1_m396882	1
AXIN1	AXIN1_m396887	1
AXIN1	AXIN1_m396914	1
AXIN1	AXIN1_p396894	1
AXIN1	AXIN1_p396902	1
AXIN1	AXIN1_p396927	1
AXIN1	AXIN1_p396934	1
AXIN1	AXIN1_p396970	1
AXIN1	AXIN1_p396977	1
AXIN2	AXIN2_m63554553	1
AXIN2	AXIN2_m63554558	1
AXIN2	AXIN2_m63554570	1
AXIN2	AXIN2_m63554707	1
AXIN2	AXIN2_p63554496	1
AXIN2	AXIN2_p63554573	1
AXIN2	AXIN2_p63554579	1
AXIN2	AXIN2_p63554587	1
AXIN2	AXIN2_p63554678	1
AXIN2	AXIN2_p63554717	1
AXL	AXL_m41725315	1
AXL	AXL_m41726539	1
AXL	AXL_p41725283	1
AXL	AXL_p41725319	1
AXL	AXL_p41725326	1
AXL	AXL_p41725336	1
AXL	AXL_p41725341	1
AXL	AXL_p41725350	1
AXL	AXL_p41726547	1
AXL	AXL_p41726557	1
AZI1	AZI1_m79193804	1
AZI1	AZI1_m79193809	1
AZI1	AZI1_m79193836	1
AZI1	AZI1_m79193843	1
AZI1	AZI1_m79193851	1
AZI1	AZI1_p79193759	1
AZI1	AZI1_p79193777	1
AZI1	AZI1_p79193791	1
AZI1	AZI1_p79193817	1
AZI1	AZI1_p79193822	1
B9D2	B9D2_m41863879	1
B9D2	B9D2_m41863897	1
B9D2	B9D2_m41863905	1
B9D2	B9D2_m41869351	1
B9D2	B9D2_m41869391	1
B9D2	B9D2_m41869403	1
B9D2	B9D2_m41869417	1
B9D2	B9D2_p41863814	1
B9D2	B9D2_p41863888	1
B9D2	B9D2_p41869364	1
BAALC	BAALC_m104153165	1
BAALC	BAALC_m104153201	1
BAALC	BAALC_m104153213	1
BAALC	BAALC_m104153219	1
BAALC	BAALC_m104153263	1
BAALC	BAALC_m104153277	1
BAALC	BAALC_p104153113	1
BAALC	BAALC_p104153123	1
BAALC	BAALC_p104153183	1
BAALC	BAALC_p104225154	1
BABAM1	BABAM1_m17379616	1
BABAM1	BABAM1_m17379642	1
BABAM1	BABAM1_m17379691	1
BABAM1	BABAM1_m17379745	1
BABAM1	BABAM1_m17379758	1
BABAM1	BABAM1_p17379602	1
BABAM1	BABAM1_p17379664	1
BABAM1	BABAM1_p17379712	1
BABAM1	BABAM1_p17379749	1
BABAM1	BABAM1_p17379774	1
BACH1	BACH1_m30693632	1
BACH1	BACH1_m30693672	1
BACH1	BACH1_m30693681	1
BACH1	BACH1_m30693738	1
BACH1	BACH1_m30693747	1
BACH1	BACH1_p30693600	1
BACH1	BACH1_p30693662	1
BACH1	BACH1_p30693699	1
BACH1	BACH1_p30693710	1
BACH1	BACH1_p30693725	1
BACH2	BACH2_m90718409	1
BACH2	BACH2_m90718418	1
BACH2	BACH2_m90718427	1
BACH2	BACH2_m90718436	1
BACH2	BACH2_m90718489	1
BACH2	BACH2_m90718556	1
BACH2	BACH2_p90718469	1
BACH2	BACH2_p90718479	1
BACH2	BACH2_p90718494	1
BACH2	BACH2_p90718512	1
BAG1	BAG1_m33264246	1
BAG1	BAG1_m33264257	1
BAG1	BAG1_m33264263	1
BAG1	BAG1_m33264275	1
BAG1	BAG1_m33264302	1
BAG1	BAG1_m33264311	1
BAG1	BAG1_p33262809	1
BAG1	BAG1_p33264216	1
BAG1	BAG1_p33264281	1
BAG1	BAG1_p33264293	1
BAG4	BAG4_m38034420	1
BAG4	BAG4_m38034474	1
BAG4	BAG4_m38034482	1
BAG4	BAG4_m38034489	1
BAG4	BAG4_m38034609	1
BAG4	BAG4_p38034387	1
BAG4	BAG4_p38034393	1
BAG4	BAG4_p38034429	1
BAG4	BAG4_p38034590	1
BAG4	BAG4_p38034601	1
BAG6	BAG6_m31619442	1
BAG6	BAG6_m31619470	1
BAG6	BAG6_m31619488	1
BAG6	BAG6_m31619506	1
BAG6	BAG6_p31619450	1
BAG6	BAG6_p31619478	1
BAG6	BAG6_p31619492	1
BAG6	BAG6_p31619498	1
BAG6	BAG6_p31619511	1
BAG6	BAG6_p31619519	1
BAHD1	BAHD1_m40750664	1
BAHD1	BAHD1_m40750693	1
BAHD1	BAHD1_m40750730	1
BAHD1	BAHD1_m40750789	1
BAHD1	BAHD1_m40750797	1
BAHD1	BAHD1_m40750806	1
BAHD1	BAHD1_p40750655	1
BAHD1	BAHD1_p40750683	1
BAHD1	BAHD1_p40750737	1
BAHD1	BAHD1_p40750777	1
BAIAP2L1	BAIAP2L1_m97984427	1
BAIAP2L1	BAIAP2L1_m97991670	1
BAIAP2L1	BAIAP2L1_m97991698	1
BAIAP2L1	BAIAP2L1_m97991720	1
BAIAP2L1	BAIAP2L1_m97991737	1
BAIAP2L1	BAIAP2L1_m98030115	1
BAIAP2L1	BAIAP2L1_m98030130	1
BAIAP2L1	BAIAP2L1_m98030157	1
BAIAP2L1	BAIAP2L1_p97991700	1
BAIAP2L1	BAIAP2L1_p98030098	1
BAIAP2	BAIAP2_m79009055	1
BAIAP2	BAIAP2_m79027466	1
BAIAP2	BAIAP2_m79027471	1
BAIAP2	BAIAP2_m79027490	1
BAIAP2	BAIAP2_p79009064	1
BAIAP2	BAIAP2_p79009071	1
BAIAP2	BAIAP2_p79027454	1
BAIAP2	BAIAP2_p79027477	1
BAIAP2	BAIAP2_p79027493	1
BAIAP2	BAIAP2_p79027517	1
BANF2	BANF2_m17705688	1
BANF2	BANF2_m17705705	1
BANF2	BANF2_m17705756	1
BANF2	BANF2_m17705782	1
BANF2	BANF2_m17716308	1
BANF2	BANF2_p17705668	1
BANF2	BANF2_p17705697	1
BANF2	BANF2_p17705724	1
BANF2	BANF2_p17705763	1
BANF2	BANF2_p17705774	1
BANP	BANP_m88008741	1
BANP	BANP_m88008746	1
BANP	BANP_m88008780	1
BANP	BANP_m88017843	1
BANP	BANP_p88008708	1
BANP	BANP_p88008720	1
BANP	BANP_p88008729	1
BANP	BANP_p88008769	1
BANP	BANP_p88039684	1
BANP	BANP_p88039691	1
BAP1	BAP1_m52443572	1
