Gene	sgRNA	eff
ACAT2	ACAT2_p160183152	1
ACAT2	ACAT2_p160183940	1
ACAT2	ACAT2_p160183972	1
ACBD6	ACBD6_m180471277	1
ACBD6	ACBD6_m180471338	1
ACBD6	ACBD6_m180471378	1
ACBD6	ACBD6_p180471251	1
ACBD6	ACBD6_p180471256	1
ACBD6	ACBD6_p180471263	1
ACBD6	ACBD6_p180471279	1
ACBD6	ACBD6_p180471286	1
ACBD6	ACBD6_p180471344	1
ACBD6	ACBD6_p180471350	1
ACD	ACD_m67694254	1
ACD	ACD_m67694260	1
ACD	ACD_m67694316	1
ACD	ACD_m67694376	1
ACD	ACD_p67694194	1
ACD	ACD_p67694285	1
ACD	ACD_p67694333	1
ACD	ACD_p67694350	1
ACD	ACD_p67694355	1
ACD	ACD_p67694362	1
ACHE	ACHE_m100491721	1
ACHE	ACHE_m100491729	1
ACHE	ACHE_m100491735	1
ACHE	ACHE_m100491767	1
ACHE	ACHE_m100491773	1
ACHE	ACHE_m100491779	1
ACHE	ACHE_m100491816	1
ACHE	ACHE_p100491631	1
ACHE	ACHE_p100491656	1
ACHE	ACHE_p100491821	1
ACIN1	ACIN1_m23535193	1
ACIN1	ACIN1_m23538698	1
ACIN1	ACIN1_m23538715	1
ACIN1	ACIN1_m23538803	1
ACIN1	ACIN1_m23538815	1
ACIN1	ACIN1_p23538701	1
ACIN1	ACIN1_p23538719	1
ACIN1	ACIN1_p23538730	1
ACIN1	ACIN1_p23538735	1
ACIN1	ACIN1_p23538745	1
ACLY	ACLY_m40069993	1
ACLY	ACLY_m40070008	1
ACLY	ACLY_m40070029	1
ACLY	ACLY_m40070097	1
ACLY	ACLY_m40070116	1
ACLY	ACLY_p40069998	1
ACLY	ACLY_p40070033	1
ACLY	ACLY_p40070039	1
ACLY	ACLY_p40070062	1
ACLY	ACLY_p40070105	1
ACO2	ACO2_m41865159	1
ACO2	ACO2_m41895784	1
ACO2	ACO2_m41895810	1
ACO2	ACO2_m41895824	1
ACO2	ACO2_m41903807	1
ACO2	ACO2_p41865164	1
ACO2	ACO2_p41895716	1
ACO2	ACO2_p41895844	1
ACO2	ACO2_p41903797	1
ACO2	ACO2_p41903813	1
ACP1	ACP1_m264983	1
ACP1	ACP1_m264989	1
ACP1	ACP1_m272095	1
ACP1	ACP1_m272137	1
ACP1	ACP1_p264954	1
ACP1	ACP1_p272032	1
ACP1	ACP1_p272042	1
ACP1	ACP1_p272054	1
ACP1	ACP1_p272099	1
ACP1	ACP1_p272185	1
ACRC	ACRC_m70811980	1
ACRC	ACRC_m70814198	1
ACRC	ACRC_p70800656	1
ACRC	ACRC_p70800697	1
ACRC	ACRC_p70800703	1
ACRC	ACRC_p70800708	1
ACRC	ACRC_p70811990	1
ACRC	ACRC_p70814182	1
ACRC	ACRC_p70814187	1
ACRC	ACRC_p70814200	1
ACSL6	ACSL6_m131326625	1
ACSL6	ACSL6_m131326630	1
ACSL6	ACSL6_m131326651	1
ACSL6	ACSL6_m131329874	1
ACSL6	ACSL6_m131329908	1
ACSL6	ACSL6_p131329816	1
ACSL6	ACSL6_p131329824	1
ACSL6	ACSL6_p131329830	1
ACSL6	ACSL6_p131329859	1
ACSL6	ACSL6_p131329878	1
ACSS2	ACSS2_m33470722	1
ACSS2	ACSS2_m33500924	1
ACSS2	ACSS2_m33500940	1
ACSS2	ACSS2_m33500955	1
ACSS2	ACSS2_m33501214	1
ACSS2	ACSS2_m33501222	1
ACSS2	ACSS2_p33470688	1
ACSS2	ACSS2_p33500893	1
ACSS2	ACSS2_p33500928	1
